serial_time	550_nm	680_nm	 
736865.957870370360	9.53	5.55	
736865.957881944490	9.53	5.56	
736865.957893518500	9.52	5.57	
736865.957905092630	9.51	5.57	
736865.957916666640	9.49	5.59	
736865.957928240760	9.50	5.59	
736865.957939814780	9.51	5.59	
736865.957951388900	9.52	5.55	
736865.957962962920	9.52	5.55	
736865.957974537040	9.51	5.56	
736865.957986111050	9.51	5.57	
736865.957997685180	9.51	5.58	
736865.958009259310	9.51	5.59	
736865.958020833320	9.51	5.59	
736865.958032407450	9.51	5.59	
736865.958043981460	9.50	5.59	
736865.958055555590	9.49	5.59	
736865.958067129600	9.48	5.64	
736865.958078703730	9.47	5.68	
736865.958090277740	9.45	5.69	
736865.958101851870	9.43	5.69	
736865.958113425880	9.41	5.70	
736865.958125000000	9.42	5.71	
736865.958136574130	9.42	5.70	
736865.958148148140	9.42	5.70	
736865.958159722270	9.43	5.69	
736865.958171296280	9.44	5.69	
736865.958182870410	9.45	5.70	
736865.958194444420	9.46	5.73	
736865.958206018550	9.45	5.75	
736865.958217592560	9.45	5.75	
736865.958229166690	9.44	5.75	
736865.958240740700	9.43	5.76	
736865.958252314830	9.43	5.75	
736865.958263888840	9.43	5.76	
736865.958275462970	9.44	5.77	
736865.958287036980	9.43	5.78	
736865.958298611110	9.43	5.78	
736865.958310185230	9.43	5.78	
736865.958321759240	9.43	5.78	
736865.958333333370	9.44	5.79	
736865.958344907380	9.44	5.79	
736865.958356481510	9.44	5.81	
736865.958368055520	9.44	5.81	
736865.958379629650	9.44	5.81	
736865.958391203660	9.44	5.81	
736865.958402777790	9.44	5.80	
736865.958414351800	9.45	5.81	
736865.958425925930	9.45	5.82	
736865.958437500060	9.36	5.82	
736865.958449074070	9.26	5.83	
736865.958460648190	9.23	5.83	
736865.958472222210	9.23	5.83	
736865.958483796330	9.24	5.82	
736865.958495370350	9.25	5.79	
736865.958506944470	9.27	5.78	
736865.958518518480	9.28	5.78	
736865.958530092610	9.28	5.78	
736865.958541666620	9.27	5.78	
736865.958553240750	9.26	5.78	
736865.958564814760	9.25	5.79	
736865.958576388890	9.25	5.79	
736865.958587963020	9.25	5.79	
736865.958599537030	9.25	5.80	
736865.958611111160	9.25	5.81	
736865.958622685170	9.25	5.83	
736865.958634259300	9.24	5.83	
736865.958645833310	9.23	5.83	
736865.958657407430	9.23	5.83	
736865.958668981450	9.23	5.82	
736865.958680555570	9.21	5.80	
736865.958692129580	9.20	5.79	
736865.958703703710	9.20	5.79	
736865.958715277720	9.19	5.80	
736865.958726851850	9.16	5.79	
736865.958738425980	9.14	5.79	
736865.958749999990	9.13	5.79	
736865.958761574120	9.11	5.79	
736865.958773148130	9.10	5.78	
736865.958784722260	9.11	5.78	
736865.958796296270	9.11	5.78	
736865.958807870400	9.11	5.77	
736865.958819444410	9.10	5.78	
736865.958831018540	9.10	5.79	
736865.958842592550	9.09	5.80	
736865.958854166670	9.08	5.81	
736865.958865740690	9.08	5.80	
736865.958877314810	9.11	5.80	
736865.958888888940	9.12	5.81	
736865.958900462950	9.13	5.81	
736865.958912037080	9.12	5.82	
736865.958923611090	9.12	5.82	
736865.958935185220	9.13	5.84	
736865.958946759230	9.13	5.84	
736865.958958333360	9.13	5.85	
736865.958969907370	9.13	5.85	
736865.958981481500	9.13	5.86	
736865.958993055510	9.13	5.87	
736865.959004629640	9.13	5.88	
736865.959016203650	9.13	5.88	
736865.959027777780	9.13	5.88	
736865.959039351900	9.14	5.88	
736865.959050925910	9.14	5.88	
736865.959062500040	9.13	5.87	
736865.959074074050	9.12	5.87	
736865.959085648180	9.12	5.87	
736865.959097222190	9.12	5.86	
736865.959108796320	9.13	5.86	
736865.959120370330	9.13	5.85	
736865.959131944460	9.13	5.85	
736865.959143518470	9.13	5.85	
736865.959155092600	9.11	5.85	
736865.959166666730	9.07	5.83	
736865.959178240740	9.04	5.82	
736865.959189814860	9.01	5.82	
736865.959201388880	8.99	5.81	
736865.959212963000	8.97	5.82	
736865.959224537010	8.98	5.83	
736865.959236111140	8.98	5.82	
736865.959247685150	8.99	5.83	
736865.959259259280	8.99	5.84	
736865.959270833290	8.98	5.84	
